{X 89.8209, Y -128.2991, Z -325.9914, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -127.8386, Z -325.5791, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -126.0909, Z -324.5317, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -124.1156, Z -324.0319, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -104.5453, Z -322.8011, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -84.9373, Z -322.9914, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -81.2430, Z -322.2873, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -78.2648, Z -319.9907, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -76.3494, Z -317.1492, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -75.7804, Z -313.7701, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -75.7793, Z -298.9418, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -75.5952, Z -297.0547, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -75.0583, Z -295.2364, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -74.4930, Z -294.0585, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -73.7789, Z -292.9643, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -72.2555, Z -291.3452, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -70.4119, Z -290.1027, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -67.2561, Z -287.1800, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -66.0415, Z -283.0537, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -65.8901, Z -274.4151, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -64.0387, Z -269.8099, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -59.5996, Z -267.5899, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -58.2281, Z -267.5156, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -56.8555, Z -267.5662, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -52.6958, Z -269.3978, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -50.5377, Z -273.3978, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -48.9020, Z -283.4186, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -46.1612, Z -288.2791, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -40.9274, Z -290.2137, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -12.6922, Z -290.2819, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -11.9865, Z -290.5762, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -10.5751, Z -291.9945, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -9.8695, Z -292.2888, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 30.0030, Z -292.3851, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 32.6364, Z -292.9147, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 34.8765, Z -294.3969, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 36.3904, Z -296.6066, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 36.9635, Z -299.2232, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 37.3826, Z -320.0105, A 0, B 0,  C 0}, grFeedrate 127.32}
